ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,Prepared,8/22/2012
3,Eastern Region,001,Accomack County,2,Rural Principal Arterial - Other,10,Six or More Axle Single Trailers,              ,,,,,,,233,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,0.00%,,
3,Eastern Region,001,Accomack County,2,Rural Principal Arterial - Other,11,Five Axle or Fewer Multi-Trailers,              ,,,,,,,10,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.00%,,
3,Eastern Region,001,Accomack County,2,Rural Principal Arterial - Other,12,Six Axle Multi-Trailers,              ,,,,,,,22,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.00%,,
3,Eastern Region,001,Accomack County,2,Rural Principal Arterial - Other,13,Seven or More Axle Multi-Trailers,              ,,,,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,01,Motorcycles,              ,732,0.00%,0.00%,,,,807,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,539,0.00%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,02,Passenger Cars,              ,82,710,0.20%,0.04%,,,,137,814,0.20%,0.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,524,0.10%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,31,602,0.08%,0.01%,,,,46,393,0.07%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,996,0.04%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,04,Busses,              ,789,0.00%,0.00%,,,,1,335,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,123,0.00%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,1,154,0.00%,0.00%,,,,1,788,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,942,0.00%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,06,Three Axle Single Unit Trucks,              ,994,0.00%,0.00%,,,,922,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,916,0.00%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,07,Four or More Axle Single Unit Trucks,              ,121,0.00%,0.00%,,,,153,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,0.00%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,08,Four Axle or Fewer Single Trailers,              ,480,0.00%,0.00%,,,,633,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,113,0.00%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,09,Five Axle Single Trailers,              ,1,001,0.00%,0.00%,,,,945,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,947,0.00%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,10,Six or More Axle Single Trailers,              ,30,0.00%,0.00%,,,,25,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.00%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,11,Five Axle or Fewer Multi-Trailers,              ,1,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,7,Rural Major Collector,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,01,Motorcycles,              ,45,0.00%,0.00%,,,,3,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,02,Passenger Cars,              ,5,973,0.01%,0.00%,,,,1,177,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,150,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,2,595,0.01%,0.00%,,,,555,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,150,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,04,Busses,              ,60,0.00%,0.00%,,,,36,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,91,0.00%,0.00%,,,,17,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,06,Three Axle Single Unit Trucks,              ,57,0.00%,0.00%,,,,15,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,07,Four or More Axle Single Unit Trucks,              ,7,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,08,Four Axle or Fewer Single Trailers,              ,19,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,09,Five Axle Single Trailers,              ,47,0.00%,0.00%,,,,7,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,10,Six or More Axle Single Trailers,              ,1,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,8,Rural Minor Collector,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,01,Motorcycles,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,02,Passenger Cars,              ,132,530,0.33%,0.06%,,,,107,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,636,0.06%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,04,Busses,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,05,"Two Axle, 6 Tire Single Unit Trucks",              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,06,Three Axle Single Unit Trucks,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,07,Four or More Axle Single Unit Trucks,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,08,Four Axle or Fewer Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,09,Five Axle Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,10,Six or More Axle Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County,9,Rural Local System,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
3,Eastern Region,001,Accomack County Total:,,,,,,261,040,0.65%,0.12%,,,,878,672,1.31%,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,139,712,0.51%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,01,Motorcycles,              ,,,,,,,,,,,,,1,186,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,186,0.00%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,02,Passenger Cars,              ,,,,,,,,,,,,,270,342,0.41%,0.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,342,0.12%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,,,,,,,57,506,0.09%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,506,0.03%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,04,Busses,              ,,,,,,,,,,,,,2,503,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,503,0.00%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,,,,,,,3,751,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,751,0.00%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,06,Three Axle Single Unit Trucks,              ,,,,,,,,,,,,,2,251,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,251,0.00%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,07,Four or More Axle Single Unit Trucks,              ,,,,,,,,,,,,,102,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,0.00%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,08,Four Axle or Fewer Single Trailers,              ,,,,,,,,,,,,,1,526,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,526,0.00%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,09,Five Axle Single Trailers,              ,,,,,,,,,,,,,54,910,0.08%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,910,0.02%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,10,Six or More Axle Single Trailers,              ,,,,,,,,,,,,,504,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.00%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,11,Five Axle or Fewer Multi-Trailers,              ,,,,,,,,,,,,,855,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,0.00%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,12,Six Axle Multi-Trailers,              ,,,,,,,,,,,,,407,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,0.00%,,
3,Eastern Region,040,Greensville County,1,Rural Principal Arterial - Interstate,13,Seven or More Axle Multi-Trailers,              ,,,,,,,,,,,,,3,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.00%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,01,Motorcycles,              ,,,,,,,367,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,0.00%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,02,Passenger Cars,              ,,,,,,,51,933,0.08%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,933,0.02%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,14,563,0.02%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,563,0.01%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,04,Busses,              ,,,,,,,477,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,0.00%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,639,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,0.00%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,06,Three Axle Single Unit Trucks,              ,,,,,,,721,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,0.00%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,07,Four or More Axle Single Unit Trucks,              ,,,,,,,111,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,0.00%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,08,Four Axle or Fewer Single Trailers,              ,,,,,,,511,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,0.00%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,09,Five Axle Single Trailers,              ,,,,,,,9,988,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,988,0.00%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,10,Six or More Axle Single Trailers,              ,,,,,,,278,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,0.00%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,11,Five Axle or Fewer Multi-Trailers,              ,,,,,,,248,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,0.00%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,12,Six Axle Multi-Trailers,              ,,,,,,,160,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,0.00%,,
3,Eastern Region,040,Greensville County,2,Rural Principal Arterial - Other,13,Seven or More Axle Multi-Trailers,              ,,,,,,,2,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.00%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,01,Motorcycles,              ,227,0.00%,0.00%,,,,124,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,0.00%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,02,Passenger Cars,              ,31,697,0.08%,0.01%,,,,11,554,0.02%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,251,0.02%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,12,949,0.03%,0.01%,,,,4,013,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,962,0.01%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,04,Busses,              ,585,0.00%,0.00%,,,,251,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,0.00%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,475,0.00%,0.00%,,,,113,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,0.00%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,06,Three Axle Single Unit Trucks,              ,411,0.00%,0.00%,,,,76,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,0.00%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,07,Four or More Axle Single Unit Trucks,              ,94,0.00%,0.00%,,,,4,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0.00%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,08,Four Axle or Fewer Single Trailers,              ,284,0.00%,0.00%,,,,60,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.00%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,09,Five Axle Single Trailers,              ,1,480,0.00%,0.00%,,,,1,177,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,657,0.00%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,10,Six or More Axle Single Trailers,              ,94,0.00%,0.00%,,,,7,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,0.00%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,11,Five Axle or Fewer Multi-Trailers,              ,5,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.00%,,
3,Eastern Region,040,Greensville County,7,Rural Major Collector,13,Seven or More Axle Multi-Trailers,              ,4,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.00%,,
3,Eastern Region,040,Greensville County,8,Rural Minor Collector,01,Motorcycles,              ,82,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,0.00%,,
3,Eastern Region,040,Greensville County,8,Rural Minor Collector,02,Passenger Cars,              ,8,366,0.02%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,366,0.00%,,
3,Eastern Region,040,Greensville County,8,Rural Minor Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,3,221,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,221,0.00%,,
3,Eastern Region,040,Greensville County,8,Rural Minor Collector,04,Busses,              ,206,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,0.00%,,
3,Eastern Region,040,Greensville County,8,Rural Minor Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,145,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,0.00%,,
3,Eastern Region,040,Greensville County,8,Rural Minor Collector,06,Three Axle Single Unit Trucks,              ,165,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,0.00%,,
3,Eastern Region,040,Greensville County,8,Rural Minor Collector,07,Four or More Axle Single Unit Trucks,              ,70,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,0.00%,,
3,Eastern Region,040,Greensville County,8,Rural Minor Collector,08,Four Axle or Fewer Single Trailers,              ,15,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.00%,,
3,Eastern Region,040,Greensville County,8,Rural Minor Collector,09,Five Axle Single Trailers,              ,170,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,0.00%,,
3,Eastern Region,040,Greensville County,8,Rural Minor Collector,10,Six or More Axle Single Trailers,              ,17,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.00%,,
3,Eastern Region,040,Greensville County,9,Rural Local System,02,Passenger Cars,              ,49,606,0.12%,0.02%,,,,1,973,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,579,0.02%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,01,Motorcycles,              ,,,,,,,,,,,,,677,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,0.00%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,02,Passenger Cars,              ,,,,,,,,,,,,,150,138,0.23%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,138,0.07%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,,,,,,,31,815,0.05%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,815,0.01%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,04,Busses,              ,,,,,,,,,,,,,1,374,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,374,0.00%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,,,,,,,2,058,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,058,0.00%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,06,Three Axle Single Unit Trucks,              ,,,,,,,,,,,,,1,252,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,252,0.00%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,07,Four or More Axle Single Unit Trucks,              ,,,,,,,,,,,,,57,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0.00%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,08,Four Axle or Fewer Single Trailers,              ,,,,,,,,,,,,,833,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833,0.00%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,09,Five Axle Single Trailers,              ,,,,,,,,,,,,,29,967,0.05%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,967,0.01%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,10,Six or More Axle Single Trailers,              ,,,,,,,,,,,,,280,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,0.00%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,11,Five Axle or Fewer Multi-Trailers,              ,,,,,,,,,,,,,465,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,0.00%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,12,Six Axle Multi-Trailers,              ,,,,,,,,,,,,,222,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,0.00%,,
3,Eastern Region,040,Greensville County,11,Urban Principal Arterial - Interstate,13,Seven or More Axle Multi-Trailers,              ,,,,,,,,,,,,,2,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.00%,,
3,Eastern Region,040,Greensville County,12,Urban Principal Arterial - Other Freeways or Expressways,01,Motorcycles,              ,,,,,,,136,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,0.00%,,
3,Eastern Region,040,Greensville County,12,Urban Principal Arterial - Other Freeways or Expressways,02,Passenger Cars,              ,,,,,,,22,697,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,697,0.01%,,
3,Eastern Region,040,Greensville County,12,Urban Principal Arterial - Other Freeways or Expressways,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,6,765,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,765,0.00%,,
3,Eastern Region,040,Greensville County,12,Urban Principal Arterial - Other Freeways or Expressways,04,Busses,              ,,,,,,,330,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,0.00%,,
3,Eastern Region,040,Greensville County,12,Urban Principal Arterial - Other Freeways or Expressways,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,297,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,0.00%,,
3,Eastern Region,040,Greensville County,12,Urban Principal Arterial - Other Freeways or Expressways,06,Three Axle Single Unit Trucks,              ,,,,,,,333,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,0.00%,,
3,Eastern Region,040,Greensville County,12,Urban Principal Arterial - Other Freeways or Expressways,07,Four or More Axle Single Unit Trucks,              ,,,,,,,29,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.00%,,
